scaffold position Cposition windSize exonL exonP geneN
Herato0101 10375000.0 10375000.0 50000 1533 0.03066 1
Herato0101 10425000.0 10425000.0 50000 1343 0.02686 1
Herato0101 10475000.0 10475000.0 50000 4068 0.08136 5
Herato0101 10525000.0 10525000.0 50000 0 0 0
Herato0101 10575000.0 10575000.0 50000 0 0 0
Herato0101 10625000.0 10625000.0 50000 328 0.00656 1
Herato0101 10675000.0 10675000.0 50000 0 0 0
Herato0101 10725000.0 10725000.0 50000 0 0 0
Herato0101 10775000.0 10775000.0 50000 184 0.00368 1
Herato0101 10825000.0 10825000.0 50000 1623 0.03246 2
Herato0101 10875000.0 10875000.0 50000 4927 0.09854 1
Herato0101 10925000.0 10925000.0 50000 272 0.00544 1
Herato0101 10975000.0 10975000.0 50000 5012 0.10024 3
Herato0101 11025000.0 11025000.0 50000 2726 0.05452 1
Herato0101 11075000.0 11075000.0 50000 1936 0.03872 1
Herato0101 11125000.0 11125000.0 50000 0 0 0
Herato0101 11175000.0 11175000.0 50000 4838 0.09676 2
Herato0101 11225000.0 11225000.0 50000 8841 0.17682 3
Herato0101 11275000.0 11275000.0 50000 8324 0.16648 3
Herato0101 11325000.0 11325000.0 50000 11853 0.23706 3
Herato0101 11375000.0 11375000.0 50000 8920 0.1784 4
Herato0101 11425000.0 11425000.0 50000 17911 0.35822 2
Herato0101 11475000.0 11475000.0 50000 11840 0.2368 6
Herato0101 11525000.0 11525000.0 50000 16557 0.33114 9
Herato0101 11575000.0 11575000.0 50000 9188 0.18376 4
Herato0101 11625000.0 11625000.0 50000 2329 0.04658 2
Herato0101 11675000.0 11675000.0 50000 6069 0.12138 4
Herato0101 11725000.0 11725000.0 50000 19281 0.38562 7
Herato0101 11775000.0 11775000.0 50000 8559 0.17118 2
Herato0101 11825000.0 11825000.0 50000 8097 0.16194 4
Herato0101 11875000.0 11875000.0 50000 10229 0.20458 6
Herato0101 11925000.0 11925000.0 50000 2741 0.05482 3
Herato0101 11975000.0 11975000.0 50000 2140 0.0428 0
Herato0101 12025000.0 12025000.0 50000 0 0 0
Herato0101 12075000.0 12075000.0 50000 9922 0.19844 8
Herato0101 12125000.0 12125000.0 50000 644 0.01288 1
Herato0101 12175000.0 12175000.0 50000 1197 0.02394 2
Herato0101 12225000.0 12225000.0 50000 3932 0.07864 3
Herato0101 12275000.0 12275000.0 50000 12920 0.2584 4
Herato0101 12325000.0 12325000.0 50000 13787 0.27574 8
Herato0101 12375000.0 12375000.0 50000 9617 0.19234 2
Herato0101 12425000.0 12425000.0 50000 11684 0.23368 3
Herato0101 12475000.0 12475000.0 50000 11547 0.23094 3
Herato0101 12525000.0 12525000.0 50000 3028 0.06056 0
Herato0101 12575000.0 12575000.0 50000 3082 0.06164 2
Herato0101 12625000.0 12625000.0 50000 11329 0.22658 6
Herato0101 12675000.0 12675000.0 50000 6742 0.13484 4
Herato0101 12725000.0 12725000.0 50000 11424 0.22848 5
Herato0101 12775000.0 12775000.0 50000 1115 0.0223 2
Herato0101 12825000.0 12825000.0 50000 3802 0.07604 1
Herato0101 12875000.0 12875000.0 50000 3519 0.07038 1
Herato0101 12925000.0 12925000.0 50000 1771 0.03542 2
Herato0101 12975000.0 12975000.0 50000 4546 0.09092 4
Herato0101 13025000.0 13025000.0 50000 5745 0.1149 4
Herato0101 13075000.0 13075000.0 50000 10627 0.21254 5
Herato0101 13125000.0 13125000.0 50000 5313 0.10626 2
Herato0101 13175000.0 13175000.0 50000 2250 0.045 1
Herato0101 13225000.0 13225000.0 50000 3512 0.07024 1
Herato0101 13275000.0 13275000.0 50000 18715 0.3743 4
Herato0101 13325000.0 13325000.0 50000 2738 0.05476 0
Herato0101 13375000.0 13375000.0 50000 7778 0.15556 6
Herato0101 13425000.0 13425000.0 50000 2887 0.05774 2
Herato0101 13475000.0 13475000.0 50000 1563 0.03126 3
Herato0101 13525000.0 13525000.0 50000 5074 0.10148 4
Herato0101 13575000.0 13575000.0 50000 14298 0.28596 9
Herato0101 13625000.0 13625000.0 50000 6116 0.12232 1
Herato0101 13675000.0 13675000.0 50000 15066 0.30132 6
Herato0101 13725000.0 13725000.0 50000 4870 0.0974 1
Herato0101 13775000.0 13775000.0 50000 0 0 0
Herato0101 13825000.0 13825000.0 50000 7711 0.15422 2
Herato0101 13875000.0 13875000.0 50000 12201 0.24402 4
Herato0101 13925000.0 13925000.0 50000 11066 0.22132 3
Herato0101 13975000.0 13975000.0 50000 6069 0.12138 2
Herato0101 14025000.0 14025000.0 50000 2385 0.0477 3
Herato0101 14075000.0 14075000.0 50000 5198 0.10396 2
Herato0101 14125000.0 14125000.0 50000 143 0.00286 0
Herato0101 14175000.0 14175000.0 50000 662 0.01324 0
Herato0101 14225000.0 14225000.0 50000 151 0.00302 0
Herato0101 14275000.0 14275000.0 50000 2831 0.05662 1
Herato0101 14325000.0 14325000.0 50000 4572 0.09144 5
Herato0101 14375000.0 14375000.0 50000 5724 0.11448 1
Herato0101 14425000.0 14425000.0 50000 0 0 0
Herato0101 14475000.0 14475000.0 50000 0 0 0
Herato0101 14525000.0 14525000.0 50000 1307 0.02614 2
Herato0101 14575000.0 14575000.0 50000 707 0.01414 1
Herato0101 14625000.0 14625000.0 50000 4630 0.0926 4
Herato0101 14675000.0 14675000.0 50000 3391 0.06782 4
Herato0101 14725000.0 14725000.0 50000 8016 0.16032 1
Herato0101 14775000.0 14775000.0 50000 7902 0.15804 4
Herato0101 14825000.0 14825000.0 50000 1400 0.028 1
Herato0101 14875000.0 14875000.0 50000 4394 0.08788 1
Herato0101 14925000.0 14925000.0 50000 12760 0.2552 5
Herato0101 14975000.0 14975000.0 50000 4045 0.0809 1
Herato0101 15025000.0 15025000.0 50000 1268 0.02536 2
Herato0101 15075000.0 15075000.0 50000 941 0.01882 0
Herato0101 15125000.0 15125000.0 50000 1557 0.03114 4
Herato0101 15175000.0 15175000.0 50000 5956 0.11912 3
Herato0101 15225000.0 15225000.0 50000 4100 0.082 2
Herato0101 15275000.0 15275000.0 50000 10932 0.21864 3
Herato0101 15325000.0 15325000.0 50000 9753 0.19506 4
Herato0101 15375000.0 15375000.0 50000 9667 0.19334 9
Herato0101 15425000.0 15425000.0 50000 5014 0.10028 3
Herato0101 15475000.0 15475000.0 50000 7950 0.159 4
Herato0101 15525000.0 15525000.0 50000 1352 0.02704 1
Herato0101 15575000.0 15575000.0 50000 0 0 0
Herato0101 15625000.0 15625000.0 50000 6594 0.13188 6
Herato0101 15675000.0 15675000.0 50000 12312 0.24624 7
Herato0101 15725000.0 15725000.0 50000 17594 0.35188 5
Herato0101 15775000.0 15775000.0 50000 13695 0.2739 6
Herato0101 15825000.0 15825000.0 50000 6221 0.12442 3
Herato0101 15875000.0 15875000.0 50000 12213 0.24426 6
Herato0101 15925000.0 15925000.0 50000 10027 0.20054 6
Herato0101 15975000.0 15975000.0 50000 4158 0.08316 1
Herato0101 16025000.0 16025000.0 50000 4200 0.084 2
Herato0101 16075000.0 16075000.0 50000 1066 0.02132 0
Herato0101 16125000.0 16125000.0 50000 1183 0.02366 1
Herato0101 16175000.0 16175000.0 50000 1802 0.03604 0
Herato0101 16225000.0 16225000.0 50000 469 0.00938 0
Herato0101 16275000.0 16275000.0 50000 15040 0.3008 6
Herato0101 16325000.0 16325000.0 50000 16722 0.33444 9
Herato0101 16375000.0 16375000.0 50000 12280 0.2456 7
Herato0101 16425000.0 16425000.0 50000 7106 0.14212 2
Herato0101 16475000.0 16475000.0 50000 7355 0.1471 5
Herato0101 16525000.0 16525000.0 50000 2824 0.05648 0
Herato0101 16575000.0 16575000.0 50000 0 0 0
Herato0101 16625000.0 16625000.0 50000 0 0 0
Herato0101 16675000.0 16675000.0 50000 0 0 0
Herato0101 16725000.0 16725000.0 50000 0 0 0
Herato0101 16775000.0 16775000.0 50000 1660 0.0332 4
Herato0101 16825000.0 16825000.0 50000 4025 0.0805 3
Herato0101 16875000.0 16875000.0 50000 3189 0.06378 3
Herato0101 16925000.0 16925000.0 50000 4149 0.08298 1
Herato0101 16975000.0 16975000.0 50000 4940 0.0988 1
Herato0101 17025000.0 17025000.0 50000 7835 0.1567 3
Herato0101 17075000.0 17075000.0 50000 1246 0.02492 1
Herato0101 17125000.0 17125000.0 50000 2513 0.05026 2
Herato0101 17175000.0 17175000.0 50000 3983 0.07966 2
Herato0101 17225000.0 17225000.0 50000 11490 0.2298 5
Herato0101 17275000.0 17275000.0 50000 47 0.00094 1
Herato0101 17325000.0 17325000.0 50000 11484 0.22968 3
Herato0101 17375000.0 17375000.0 50000 10080 0.2016 6
Herato0101 17425000.0 17425000.0 50000 10279 0.20558 5
Herato0101 17475000.0 17475000.0 50000 12400 0.248 3
Herato0101 17525000.0 17525000.0 50000 8355 0.1671 2
Herato0101 17575000.0 17575000.0 50000 12501 0.25002 6
Herato0101 17625000.0 17625000.0 50000 4998 0.09996 4
Herato0101 17675000.0 17675000.0 50000 7058 0.14116 3
Herato0101 17725000.0 17725000.0 50000 0 0 0
Herato0101 17775000.0 17775000.0 50000 0 0.0 1
Herato0101 17825000.0 17825000.0 50000 1490 0.0298 3
Herato0101 17875000.0 17875000.0 50000 10894 0.21788 6
Herato0101 17925000.0 17925000.0 50000 14929 0.29858 6
Herato0101 17975000.0 17975000.0 50000 0 0 0
Herato0101 18025000.0 18025000.0 50000 0 0.0 1
Herato0101 18075000.0 18075000.0 50000 0 0 0
Herato0101 18125000.0 18125000.0 50000 0 0 0
Herato0101 18175000.0 18175000.0 50000 499 0.00998 1
Herato0101 18225000.0 18225000.0 50000 10775 0.2155 2
Herato0101 18275000.0 18275000.0 50000 2497 0.04994 3
Herato0101 18325000.0 18325000.0 50000 1981 0.03962 1
Herato0101 18375000.0 18375000.0 50000 11216 0.22432 4
Herato0101 18425000.0 18425000.0 50000 10060 0.2012 5
Herato0101 18475000.0 18475000.0 50000 1229 0.02458 1
Herato0101 18525000.0 18525000.0 50000 5454 0.10908 2
Herato0101 18575000.0 18575000.0 50000 1948 0.03896 2
Herato0101 18625000.0 18625000.0 50000 90 0.0018 1
Herato0101 18675000.0 18675000.0 50000 5876 0.11752 2
Herato0101 18725000.0 18725000.0 50000 2878 0.05756 1
Herato0101 18775000.0 18775000.0 50000 776 0.01552 1
Herato0101 18825000.0 18825000.0 50000 521 0.01042 1
Herato0101 18875000.0 18875000.0 50000 800 0.016 1
Herato0101 18925000.0 18925000.0 50000 1256 0.02512 2
Herato0101 18975000.0 18975000.0 50000 8060 0.1612 3
Herato0101 19025000.0 19025000.0 50000 7378 0.14756 4
Herato0101 19075000.0 19075000.0 50000 4511 0.09022 2
Herato0101 19125000.0 19125000.0 50000 781 0.01562 1
Herato0101 19175000.0 19175000.0 50000 655 0.0131 0
Herato0101 19225000.0 19225000.0 50000 651 0.01302 0
Herato0101 19275000.0 19275000.0 50000 0 0 0
Herato0101 19325000.0 19325000.0 50000 0 0 0
Herato0101 19375000.0 19375000.0 50000 0 0.0 1
Herato0101 19425000.0 19425000.0 50000 7690 0.1538 4
Herato0101 19475000.0 19475000.0 50000 0 0 0
Herato0101 19525000.0 19525000.0 50000 1404 0.02808 1
Herato0101 19575000.0 19575000.0 50000 303 0.00606 0
Herato0101 19625000.0 19625000.0 50000 283 0.00566 1
Herato0101 19675000.0 19675000.0 50000 0 0 0
Herato0101 19725000.0 19725000.0 50000 0 0 0
Herato0101 19775000.0 19775000.0 50000 0 0 0
Herato0101 19825000.0 19825000.0 50000 1514 0.03028 1
Herato0101 19875000.0 19875000.0 50000 0 0 0
Herato0101 19925000.0 19925000.0 50000 173 0.00346 1
Herato0101 19975000.0 19975000.0 50000 1596 0.03192 0
Herato0101 20025000.0 20025000.0 50000 531 0.01062 1
Herato0101 20075000.0 20075000.0 50000 8777 0.17554 4
Herato0101 20125000.0 20125000.0 50000 1259 0.02518 0
Herato0101 20175000.0 20175000.0 50000 7807 0.15614 3
Herato0101 20225000.0 20225000.0 50000 5086 0.10172 2
Herato0101 20275000.0 20275000.0 50000 966 0.01932 1
Herato0101 20325000.0 20325000.0 50000 0 0.0 1
Herato0101 20375000.0 20375000.0 50000 0 0 0
Herato0101 20425000.0 20425000.0 50000 0 0 0
Herato0101 20475000.0 20475000.0 50000 468 0.00936 1
Herato0101 20525000.0 20525000.0 50000 8968 0.17936 4
Herato0101 20575000.0 20575000.0 50000 2238 0.04476 3
Herato0101 20625000.0 20625000.0 50000 7997 0.15994 6
Herato0101 20675000.0 20675000.0 50000 4608 0.09216 2
Herato0101 20725000.0 20725000.0 50000 5896 0.11792 3
Herato0101 20775000.0 20775000.0 50000 1162 0.02324 0
Herato0101 20825000.0 20825000.0 50000 4543 0.09086 1
Herato0101 20875000.0 20875000.0 50000 1421 0.02842 1
Herato0101 20925000.0 20925000.0 50000 2836 0.05672 3
Herato0101 20975000.0 20975000.0 50000 6226 0.12452 4
Herato0101 21025000.0 21025000.0 50000 13598 0.27196 4
Herato0101 21075000.0 21075000.0 50000 5729 0.11458 1
Herato0101 21125000.0 21125000.0 50000 2696 0.05392 3
Herato0101 21175000.0 21175000.0 50000 6226 0.12452 1
Herato0101 21225000.0 21225000.0 50000 6589 0.13178 6
Herato0101 21275000.0 21275000.0 50000 3385 0.0677 2
Herato0101 21325000.0 21325000.0 50000 4144 0.08288 2
Herato0101 21375000.0 21375000.0 50000 7958 0.15916 2
Herato0101 21425000.0 21425000.0 50000 558 0.01116 0
Herato0101 21475000.0 21475000.0 50000 1314 0.02628 2
Herato0101 21525000.0 21525000.0 50000 917 0.01834 1
Herato0101 21575000.0 21575000.0 50000 3722 0.07444 2
Herato0101 21625000.0 21625000.0 50000 7900 0.158 4
Herato0101 21675000.0 21675000.0 50000 5918 0.11836 4
Herato0101 21725000.0 21725000.0 50000 4599 0.09198 3
Herato0101 21775000.0 21775000.0 50000 0 0 0
Herato0101 21825000.0 21825000.0 50000 4837 0.09674 1
Herato0101 21875000.0 21875000.0 50000 0 0.0 2
Herato0101 21925000.0 21925000.0 50000 0 0.0 1
Herato0101 21975000.0 21975000.0 50000 3083 0.06166 2
Herato0101 22025000.0 22025000.0 50000 0 0 0
Herato0101 22075000.0 22075000.0 50000 0 0 0
Herato0101 22125000.0 22125000.0 50000 0 0 0
Herato0101 22175000.0 22175000.0 50000 0 0 0
Herato0101 22225000.0 22225000.0 50000 615 0.0123 1
Herato0101 22275000.0 22275000.0 50000 5125 0.1025 3
Herato0101 22325000.0 22312894.0 25788 5894 0.228555917481 2
Herato0201 25000.0 14326.5 28653 1467 0.0511988273479 2
Herato0202 25000.0 53654.0 50000 2039 0.04078 1
Herato0202 75000.0 103654.0 50000 2038 0.04076 2
Herato0203 25000.0 240461.0 50000 2301 0.04602 2
Herato0203 75000.0 290461.0 50000 0 0 0
Herato0203 125000.0 340461.0 50000 1574 0.03148 2
Herato0203 175000.0 390461.0 50000 2489 0.04978 1
Herato0203 225000.0 440461.0 50000 0 0 0
Herato0203 275000.0 490461.0 50000 0 0 0
Herato0203 325000.0 540461.0 50000 0 0 0
Herato0203 375000.0 583425.5 35929 813 0.0226279607003 1
Herato0204 25000.0 626391.0 50000 730 0.0146 1
Herato0204 75000.0 676391.0 50000 2573 0.05146 3
Herato0204 125000.0 726391.0 50000 2791 0.05582 2
Herato0204 175000.0 776391.0 50000 4128 0.08256 3
Herato0204 225000.0 826391.0 50000 2476 0.04952 2
Herato0204 275000.0 876391.0 50000 5093 0.10186 3
Herato0204 325000.0 926391.0 50000 2750 0.055 1
Herato0204 375000.0 976391.0 50000 5519 0.11038 2
