scaffold	chromosome	length	scafStart	scafEnd
Herato0606	6	13052679	4825252	17877931
Herato0607	6	36343	17877931	17914274
Herato0608	6	50339	17914274	17964613
Herato0609	6	1464753	17964613	19429366
Herato0701	7	19097038	1	19097038
Herato0801	8	9271832	1	9271832
Herato0802	8	32406	9271832	9304238
Herato0803	8	135860	9304238	9440098
Herato0804	8	82155	9440098	9522253
Herato0805	8	31599	9522253	9553852
Herato0806	8	87657	9553852	9641509
Herato0807	8	139309	9641509	9780818
Herato0808	8	131422	9780818	9912240
Herato0809	8	65451	9912240	9977691
Herato0810	8	48114	9977691	10025805
Herato0811	8	36721	10025805	10062526
Herato0812	8	50537	10062526	10113063
Herato0813	8	21578	10113063	10134641
Herato0814	8	71771	10134641	10206412
Herato0815	8	28998	10206412	10235410
Herato0816	8	20212	10235410	10255622
Herato0817	8	24549	10255622	10280171
Herato0818	8	61616	10280171	10341787
Herato0819	8	99540	10341787	10441327
Herato0820	8	56351	10441327	10497678
Herato0821	8	3525731	10497678	14023409
Herato0901	9	12570464	1	12570464
Herato0902	9	53253	12570464	12623717
Herato0903	9	57212	12623717	12680929
Herato0904	9	482986	12680929	13163915
Herato1001	10	6119354	1	6119354
Herato1002	10	169348	6119354	6288702
Herato1003	10	7326420	6288702	13615122
Herato1004	10	23009	13615122	13638131
Herato1005	10	4625179	13638131	18263310
Herato1006	10	13474	18263310	18276784
Herato1007	10	5687592	18276784	23964376
Herato1101	11	67635	1	67635
Herato1102	11	1168137	67635	1235772
Herato1103	11	113576	1235772	1349348
Herato1104	11	31523	1349348	1380871
Herato1105	11	68716	1380871	1449587
Herato1106	11	224850	1449587	1674437
Herato1107	11	61460	1674437	1735897
Herato1108	11	14487635	1735897	16223532
Herato1109	11	325643	16223532	16549175
Herato1110	11	27752	16549175	16576927
Herato1111	11	19528	16576927	16596455
Herato1112	11	97620	16596455	16694075
Herato1113	11	40189	16694075	16734264
Herato1114	11	72809	16734264	16807073
Herato1115	11	120455	16807073	16927528
Herato1116	11	229894	16927528	17157422
Herato1201	12	651729	1	651729
Herato1202	12	20707989	651729	21359718
Herato1301	13	23854410	1	23854410
Herato1401	14	255960	1	255960
Herato1402	14	17443	255960	273403
Herato1403	14	63642	273403	337045
Herato1404	14	26991	337045	364036
Herato1405	14	46554	364036	410590
Herato1406	14	38547	410590	449137
Herato1407	14	58511	449137	507648
Herato1408	14	6049474	507648	6557122
Herato1409	14	34590	6557122	6591712
Herato1410	14	423614	6591712	7015326
Herato1411	14	7014335	7015326	14029661
Herato1501	15	75495	1	75495
Herato1502	15	156544	75495	232039
Herato1503	15	18274	232039	250313
Herato1504	15	93920	250313	344233
Herato1505	15	3913891	344233	4258124
Herato1506	15	179095	4258124	4437219
Herato1507	15	10801994	4437219	15239213
Herato1508	15	68412	15239213	15307625
Herato1509	15	51799	15307625	15359424
Herato1510	15	80997	15359424	15440421
Herato1511	15	48239	15440421	15488660
Herato1512	15	450889	15488660	15939549
Herato1513	15	85516	15939549	16025065
Herato1514	15	69314	16025065	16094379
Herato1515	15	24002	16094379	16118381
Herato1516	15	39358	16118381	16157739
Herato1517	15	19794	16157739	16177533
Herato1518	15	14036	16177533	16191569
Herato1519	15	11005	16191569	16202574
Herato1520	15	14322	16202574	16216896
Herato1521	15	46246	16216896	16263142
Herato1522	15	17339	16263142	16280481
Herato1523	15	20963	16280481	16301444
Herato1524	15	844438	16301444	17145882
Herato1601	16	5932293	1	5932293
Herato1602	16	269462	5932293	6201755
Herato1603	16	4045553	6201755	10247308
Herato1604	16	59805	10247308	10307113
Herato1605	16	4955386	10307113	15262499
Herato1701	17	11468078	1	11468078
Herato1702	17	121564	11468078	11589642
Herato1703	17	2389151	11589642	13978793
Herato1704	17	293269	13978793	14272062
Herato1705	17	2765404	14272062	17037466
Herato1706	17	114500	17037466	17151966
Herato1707	17	288312	17151966	17440278
Herato1708	17	2542554	17440278	19982832
Herato1709	17	3074	19982832	19985906
Herato1710	17	24544	19985906	20010450
Herato1711	17	25880	20010450	20036330
Herato1712	17	106911	20036330	20143241
Herato1713	17	123185	20143241	20266426
Herato1714	17	47220	20266426	20313646
Herato1715	17	36772	20313646	20350418
Herato1716	17	64239	20350418	20414657
Herato1717	17	4323	20414657	20418980
Herato1718	17	5479	20418980	20424459
Herato1719	17	8628	20424459	20433087
Herato1801	18	5168646	1	5168646
Herato1802	18	19852	5168646	5188498
Herato1803	18	504556	5188498	5693054
Herato1804	18	365454	5693054	6058508
Herato1805	18	10320797	6058508	16379305
Herato1806	18	22223	16379305	16401528
Herato1807	18	5435266	16401528	21836794
Herato1901	19	3460316	1	3460316
Herato1902	19	343758	3460316	3804074
Herato1903	19	427783	3804074	4231857
Herato1904	19	8379707	4231857	12611564
Herato1905	19	331125	12611564	12942689
Herato1906	19	1449420	12942689	14392109
Herato1907	19	70543	14392109	14462652
Herato1908	19	2756699	14462652	17219351
Herato1909	19	26385	17219351	17245736
Herato1910	19	5581774	17245736	22827510
Herato2001	20	19449475	1	19449475
Herato2101	21	17478929	1	17478929
